score_mode,threshold_quantile,threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,missed_poison_rate,clean_false_positive_rate
pred_dist_over_margin,0.5,7.319753885269165,51.68666666666667,51.605941348229024,54.2,52.87117122975873,4065,3812,3688,3435,45.8,50.82666666666667
pred_dist_plus_uncertainty,0.5,5.133947849273682,49.946666666666665,49.94700582935877,50.26666666666667,50.1063264221159,3770,3778,3722,3730,49.733333333333334,50.373333333333335
pred_centroid_dist,0.5,4.876279592514038,49.77333333333333,49.77554792711909,50.26666666666667,50.01990181769935,3770,3804,3696,3730,49.733333333333334,50.72
nearest_dist_plus_uncertainty,0.5,4.958441257476807,49.45333333333333,49.44981213097155,49.13333333333333,49.29106474050294,3685,3767,3733,3815,50.86666666666667,50.22666666666667
nearest_centroid_dist,0.5,4.681786060333252,49.32,49.310624493106246,48.64,48.97301651228353,3648,3750,3750,3852,51.36,50.0
pred_dist_over_margin,0.7,12.805941772460937,50.866666666666674,51.332513325133256,33.38666666666666,40.458878655679435,2504,2374,5126,4996,66.61333333333333,31.653333333333332
pred_dist_plus_uncertainty,0.7,5.828795623779297,50.56666666666667,50.88265835929388,32.666666666666664,39.78887535525782,2450,2365,5135,5050,67.33333333333333,31.533333333333335
pred_centroid_dist,0.7,5.553642845153808,50.26666666666667,50.41736227045075,32.21333333333333,39.31012040351448,2416,2376,5124,5084,67.78666666666666,31.68
nearest_dist_plus_uncertainty,0.7,5.5845154285430905,49.89333333333333,49.82214317474433,29.880000000000003,37.35622603767295,2241,2257,5243,5259,70.12,30.093333333333334
nearest_centroid_dist,0.7,5.304843711853027,49.126666666666665,48.508991577509676,28.413333333333334,35.83620617169764,2131,2262,5238,5369,71.58666666666667,30.16
pred_dist_plus_uncertainty,0.8,6.286985492706299,50.78666666666667,51.72817809021676,23.546666666666667,32.36210371999267,1766,1648,5852,5734,76.45333333333333,21.973333333333333
pred_dist_over_margin,0.8,20.919282531738286,50.79333333333334,51.78303865747678,23.04,31.890744671034422,1728,1609,5891,5772,76.96,21.453333333333333
pred_centroid_dist,0.8,5.987619495391846,50.39333333333333,50.877192982456144,22.813333333333333,31.501426861824545,1711,1652,5848,5789,77.18666666666667,22.026666666666667
nearest_dist_plus_uncertainty,0.8,5.9567536354064945,49.653333333333336,49.16020671834625,20.293333333333333,28.72782181955455,1522,1574,5926,5978,79.70666666666666,20.986666666666668
nearest_centroid_dist,0.8,5.700603485107422,49.593333333333334,48.945001729505364,18.866666666666667,27.23510730439804,1415,1476,6024,6085,81.13333333333334,19.68
pred_dist_over_margin,0.9,44.94593200683591,50.66666666666667,52.83125707814269,12.44,20.13813943449169,933,833,6667,6567,87.56,11.106666666666667
pred_dist_plus_uncertainty,0.9,7.020964956283569,50.73333333333333,53.153669724770644,12.36,20.05625270445694,927,817,6683,6573,87.64,10.893333333333333
pred_centroid_dist,0.9,6.6987049102783205,50.64666666666666,52.871521610420366,11.906666666666666,19.436282511698774,893,796,6704,6607,88.09333333333333,10.613333333333333
nearest_dist_plus_uncertainty,0.9,6.555906867980957,50.16666666666667,50.81752779594506,10.36,17.211208328718573,777,752,6748,6723,89.64,10.026666666666667
nearest_centroid_dist,0.9,6.295104360580444,50.20666666666666,51.04096709200806,10.133333333333333,16.909556124151738,760,729,6771,6740,89.86666666666666,9.72
pred_dist_over_margin,0.95,95.12977142333922,50.21333333333333,51.69133192389006,6.52,11.579445891546293,489,457,7043,7011,93.48,6.093333333333334
pred_dist_plus_uncertainty,0.95,7.632074689865111,50.49333333333333,54.21412300683372,6.346666666666668,11.363093817140129,476,402,7098,7024,93.65333333333334,5.36
pred_centroid_dist,0.95,7.278296494483947,50.473333333333336,54.0478905359179,6.32,11.316700489435359,474,403,7097,7026,93.68,5.373333333333333
nearest_dist_plus_uncertainty,0.95,7.111000466346738,50.2,51.94805194805194,5.333333333333334,9.673518742442564,400,370,7130,7100,94.66666666666667,4.933333333333334
nearest_centroid_dist,0.95,6.933468174934384,50.17333333333334,51.82584269662921,4.92,8.986848514369216,369,343,7157,7131,95.08,4.573333333333333
pred_dist_over_margin,0.99,457.2449588012689,50.080000000000005,52.654867256637175,1.586666666666667,3.0805073776857363,119,107,7393,7381,98.41333333333333,1.4266666666666667
nearest_centroid_dist,0.99,8.11465335845947,50.093333333333334,53.431372549019606,1.4533333333333334,2.829698857736241,109,95,7405,7391,98.54666666666667,1.2666666666666666
pred_dist_plus_uncertainty,0.99,8.759603881835933,50.0,50.0,1.4000000000000001,2.7237354085603114,105,105,7395,7395,98.6,1.4
pred_centroid_dist,0.99,8.514565496444702,50.093333333333334,53.645833333333336,1.3733333333333333,2.6781071242849714,103,89,7411,7397,98.62666666666667,1.1866666666666668
nearest_dist_plus_uncertainty,0.99,8.282908391952514,50.04666666666666,51.85185185185185,1.3066666666666666,2.5490961113278714,98,91,7409,7402,98.69333333333333,1.2133333333333334
