dataset_index,label,clean_target_prob,triggered_target_prob,trigger_delta,score,clean_pred,triggered_pred,ground_truth_poison,predicted_poison
1,9,0.5392510294914246,0.4093215763568878,-0.12992945313453674,1.0,9,9,1,1
3,4,2.4456555820506765e-06,2.2394315237761475e-06,-2.0622405827452894e-07,1.0,4,4,1,1
4,1,2.3948761736392044e-05,1.6276850146823563e-05,-7.671911589568481e-06,1.0,1,1,1,1
5,1,0.0018547449726611376,0.0006885906914249063,-0.0011661542812362313,1.0,1,1,1,1
6,2,0.00014786189422011375,0.00013319523714017123,-1.4666657079942524e-05,1.0,2,2,1,1
18,2,0.0006077925208956003,0.0012879171408712864,0.0006801246199756861,1.0,2,2,1,1
19,6,0.014662752859294415,0.006358965765684843,-0.008303787559270859,1.0,3,4,1,1
23,6,4.0402566810371354e-05,9.926430357154459e-05,5.8861736761173233e-05,1.0,6,6,1,1
28,4,1.6221092664636672e-06,5.623685979116999e-07,-1.0597407253953861e-06,1.0,4,4,1,1
31,9,0.7017804384231567,0.30999067425727844,-0.3917897641658783,1.0,9,9,1,1
32,1,0.004423627629876137,0.005199754144996405,0.0007761265151202679,1.0,1,1,1,1
33,3,5.665851494995877e-05,5.189970397623256e-05,-4.758810973726213e-06,1.0,3,3,1,1
34,4,1.6546265442229924e-06,1.357711767013825e-06,-2.9691477720916737e-07,1.0,4,4,1,1
35,0,0.00040282949339598417,0.00010887425014516339,-0.00029395523597486317,1.0,7,7,1,1
37,7,1.335352521891764e-07,1.5451918500275497e-07,2.0983932813578576e-08,1.0,7,7,1,1
44,1,0.0016513550654053688,0.0017827157862484455,0.0001313607208430767,1.0,1,1,1,1
45,1,0.0010501269716769457,0.000922862789593637,-0.0001272641820833087,1.0,1,1,1,1
49,0,0.00012554922432173043,7.08525039954111e-05,-5.469672032631934e-05,1.0,0,0,0,1
50,9,0.3293391168117523,0.24524833261966705,-0.08409078419208527,1.0,0,0,1,1
53,9,0.014776337891817093,0.0016918341862037778,-0.013084503822028637,1.0,1,1,1,1
54,2,1.7866127564047929e-06,1.635420971979329e-06,-1.51191784425464e-07,1.0,2,2,1,1
55,2,2.7695416065398604e-05,3.73331131413579e-05,9.637697075959295e-06,1.0,2,2,1,1
57,2,7.032758003333583e-05,2.0207447960274294e-05,-5.012013207306154e-05,1.0,2,2,1,1
58,4,1.1981852594544762e-06,1.7002055301418295e-06,5.020202706873533e-07,1.0,2,4,1,1
61,1,2.527749165892601e-05,1.8046861441689543e-05,-7.230630217236467e-06,1.0,1,1,1,1
64,1,0.0056658536195755005,0.002602495951578021,-0.0030633576679974794,1.0,1,1,1,1
72,6,0.08650528639554977,0.10539086908102036,0.01888558268547058,1.0,6,1,1,1
75,1,0.009018260054290295,0.004381051752716303,-0.004637208301573992,1.0,1,1,1,1
77,0,0.0016573845641687512,0.0008345161913894117,-0.0008228683727793396,1.0,0,0,1,1
88,9,0.10025276988744736,0.04432954639196396,-0.0559232234954834,1.0,1,1,1,1
89,4,1.7762051356839947e-05,4.622044798452407e-06,-1.314000655838754e-05,1.0,2,2,1,1
96,1,0.0046032872051000595,0.0019345807377249002,-0.0026687064673751593,1.0,8,8,1,1
99,1,0.0017051800386980176,0.0012687399284914136,-0.000436440110206604,1.0,1,1,1,1
100,8,8.977072138804942e-05,0.00011519563850015402,2.5424917112104595e-05,1.0,8,8,1,1
101,3,1.3172772924008314e-05,1.8487058696337044e-05,5.314285772328731e-06,1.0,3,3,1,1
102,9,0.19564150273799896,0.08214060217142105,-0.11350090056657791,1.0,1,1,1,1
103,6,0.07451600581407547,0.06455449759960175,-0.009961508214473724,1.0,5,5,1,1
105,1,1.0019586625276133e-05,1.0641151675372384e-05,6.215650500962511e-07,1.0,1,1,1,1
109,9,0.6255568861961365,0.41525623202323914,-0.21030065417289734,1.0,9,9,1,1
110,9,0.016288742423057556,0.003453691489994526,-0.01283505093306303,1.0,1,1,1,1
111,8,0.00031658343505114317,0.0003197503392584622,3.1669042073190212e-06,1.0,8,0,1,1
112,1,0.0014537753304466605,0.0010140232043340802,-0.0004397521261125803,1.0,1,1,1,1
113,7,0.0022778452839702368,0.0006824552547186613,-0.0015953900292515755,1.0,2,7,1,1
116,0,0.00010896804451476783,4.386707951198332e-05,-6.51009613648057e-05,1.0,8,8,1,1
117,6,6.5897843342099804e-06,1.2150052498327568e-05,5.560268164117588e-06,1.0,6,6,1,1
124,6,0.00020944708376191556,0.00083264394197613,0.000623196829110384,1.0,6,6,1,1
126,1,0.0005438204971142113,8.989284106064588e-05,-0.00045392767060548067,1.0,1,1,1,1
132,6,0.0008065040456131101,0.00043426890624687076,-0.0003722351393662393,1.0,2,2,1,1
134,1,0.0019045572262257338,0.0019569499418139458,5.239271558821201e-05,1.0,1,1,1,1
137,1,1.83811553142732e-05,9.054881957126781e-06,-9.32627335714642e-06,1.0,1,1,1,1
138,2,0.0004864770162384957,0.0004196068621240556,-6.687015411444008e-05,1.0,2,2,1,1
140,1,0.0675596371293068,0.019668158143758774,-0.04789147898554802,1.0,0,0,1,1
142,3,0.005149380769580603,0.0032963366247713566,-0.001853044144809246,1.0,2,2,1,1
145,4,0.0004424160870257765,0.0002100830024573952,-0.0002323330845683813,1.0,4,4,1,1
146,9,0.07036401331424713,0.07422049343585968,0.003856480121612549,1.0,4,4,1,1
147,9,0.010001814924180508,0.009144298732280731,-0.0008575161918997765,1.0,1,1,1,1
153,4,3.190074266967713e-06,1.8978323623741744e-06,-1.2922419045935385e-06,1.0,4,4,1,1
154,6,0.0006045869668014348,0.0003588534891605377,-0.00024573347764089704,1.0,4,4,1,1
158,4,6.060705572963343e-07,2.2886740680405637e-07,-3.7720315049227793e-07,1.0,4,4,0,1
160,1,0.00016686097660567611,0.00037436161073856056,0.00020750063413288444,1.0,1,1,1,1
162,4,0.0031721817795187235,0.002955319359898567,-0.0002168624196201563,1.0,7,7,1,1
163,7,9.25853328226367e-07,1.053678374773881e-06,1.2782504654751392e-07,1.0,7,7,1,1
165,0,0.0002975830575451255,0.00011461305984994397,-0.0001829699904192239,1.0,0,0,1,1
166,9,0.06584208458662033,0.025609340518712997,-0.04023274406790733,1.0,1,1,1,1
168,1,0.02127712592482567,0.015631653368473053,-0.005645472556352615,1.0,1,1,1,1
176,1,0.0002416116913082078,0.00042229786049574614,0.00018068616918753833,1.0,1,1,1,1
184,1,0.0023101097904145718,0.0012246289988979697,-0.001085480791516602,1.0,1,1,1,1
186,9,0.12753604352474213,0.07708832621574402,-0.05044771730899811,1.0,1,1,1,1
188,9,0.9653852581977844,0.9346122741699219,-0.03077298402786255,1.0,9,9,1,1
191,7,0.0005866786232218146,0.0002429884480079636,-0.0003436901606619358,1.0,5,7,1,1
