dataset_index,label,clean_target_prob,triggered_target_prob,trigger_delta,score,clean_pred,triggered_pred,ground_truth_poison,predicted_poison
1,9,0.3494882583618164,0.2271774709224701,-0.12231078743934631,-0.12231078743934631,1,1,0,1
3,4,5.531949682335835e-06,6.212344942468917e-06,6.80395260133082e-07,6.80395260133082e-07,4,4,0,0
4,1,8.84880319063086e-06,4.33151944889687e-06,-4.517283741733991e-06,-4.517283741733991e-06,1,1,1,0
5,1,0.002639415441080928,0.0008182516903616488,-0.00182116380892694,-0.00182116380892694,1,1,0,1
6,2,7.333136454690248e-05,6.349365139612928e-05,-9.837713150773197e-06,-9.837713150773197e-06,2,2,0,1
18,2,0.000471489445772022,0.0008799635688774288,0.00040847412310540676,0.00040847412310540676,2,2,1,0
19,6,0.017062779515981674,0.00736056687310338,-0.009702213108539581,-0.009702213108539581,3,7,0,1
23,6,3.928660953533836e-05,0.0001326017954852432,9.331518958788365e-05,9.331518958788365e-05,6,6,1,0
28,4,5.617531769530615e-06,2.1385483250924153e-06,-3.4789834444381995e-06,-3.4789834444381995e-06,4,4,1,0
31,9,0.5950222611427307,0.19035479426383972,-0.404667466878891,-0.404667466878891,9,1,0,1
32,1,0.0014956282684579492,0.0016861387994140387,0.0001905105309560895,0.0001905105309560895,1,1,1,0
33,3,0.00011390819418011233,0.00012473280366975814,1.0824609489645809e-05,1.0824609489645809e-05,3,3,0,0
34,4,1.8872511873269104e-06,1.3820661024510628e-06,-5.051850848758477e-07,-5.051850848758477e-07,4,4,1,0
35,0,0.00026452893507666886,7.022192585282028e-05,-0.00019430700922384858,-0.00019430700922384858,7,7,0,1
37,7,1.1159151824813307e-07,2.001900725190353e-07,8.859855427090224e-08,8.859855427090224e-08,7,7,0,0
44,1,0.000510944111738354,0.0005407375865615904,2.9793474823236465e-05,2.9793474823236465e-05,1,1,1,0
45,1,0.0009438566048629582,0.0006084314081817865,-0.00033542519668117166,-0.00033542519668117166,1,1,1,1
49,0,0.00012447562767192721,7.965361146489158e-05,-4.482201620703563e-05,-4.482201620703563e-05,0,0,0,1
50,9,0.29400286078453064,0.17461581528186798,-0.11938704550266266,-0.11938704550266266,0,0,1,1
53,9,0.011309872381389141,0.000772556581068784,-0.010537316091358662,-0.010537316091358662,1,1,0,1
54,2,1.9790588794421637e-06,1.61413242949493e-06,-3.649264499472338e-07,-3.649264499472338e-07,2,2,0,0
55,2,3.154497971991077e-05,3.941535760532133e-05,7.870377885410562e-06,7.870377885410562e-06,2,2,0,0
57,2,0.00012376144877634943,3.5162865970050916e-05,-8.85985791683197e-05,-8.85985791683197e-05,2,2,0,1
58,4,1.972545078388066e-06,2.8903068596264347e-06,9.177617812383687e-07,9.177617812383687e-07,2,2,0,0
61,1,1.37740926220431e-05,6.774121629860019e-06,-6.99997099218308e-06,-6.99997099218308e-06,1,1,0,1
64,1,0.0037356277462095022,0.0015327553264796734,-0.002202872419729829,-0.002202872419729829,1,1,0,1
72,6,0.0674334466457367,0.06261931359767914,-0.004814133048057556,-0.004814133048057556,1,1,0,1
75,1,0.005945343058556318,0.002266279421746731,-0.0036790636368095875,-0.0036790636368095875,1,1,0,1
77,0,0.0019214628264307976,0.0007928587147034705,-0.001128604169934988,-0.001128604169934988,0,0,1,1
88,9,0.04414662718772888,0.018545690923929214,-0.025600936263799667,-0.025600936263799667,1,1,0,1
89,4,1.653621075092815e-05,4.513259682425996e-06,-1.2022950613754801e-05,-1.2022950613754801e-05,2,2,0,1
96,1,0.0015233771409839392,0.0006280253874137998,-0.0008953517535701394,-0.0008953517535701394,8,8,0,1
99,1,0.0010143228573724627,0.0006157790194265544,-0.0003985438379459083,-0.0003985438379459083,1,1,0,1
100,8,8.530530612915754e-05,9.686168777989224e-05,1.1556381650734693e-05,1.1556381650734693e-05,8,8,1,0
101,3,1.5842857465031557e-05,2.7881518690264784e-05,1.2038661225233227e-05,1.2038661225233227e-05,3,3,0,0
102,9,0.09124751389026642,0.028300074860453606,-0.06294743716716766,-0.06294743716716766,1,1,1,1
103,6,0.04625723883509636,0.037332210689783096,-0.008925028145313263,-0.008925028145313263,8,5,0,1
105,1,3.424893066039658e-06,2.9008722322032554e-06,-5.240208338364027e-07,-5.240208338364027e-07,1,1,0,0
109,9,0.36436209082603455,0.1751796007156372,-0.18918249011039734,-0.18918249011039734,1,1,1,1
110,9,0.007006259635090828,0.0008421806269325316,-0.006164079066365957,-0.006164079066365957,1,1,1,1
111,8,0.00018586548685561866,0.00018833199283108115,2.4665059754624963e-06,2.4665059754624963e-06,8,8,1,0
112,1,0.0005960569833405316,0.00031564594246447086,-0.0002804110408760607,-0.0002804110408760607,1,1,1,1
113,7,0.0008867642027325928,0.0003363842552062124,-0.0005503799766302109,-0.0005503799766302109,2,7,0,1
116,0,5.275565854390152e-05,1.989635347854346e-05,-3.285930506535806e-05,-3.285930506535806e-05,8,8,0,1
117,6,1.353995412500808e-05,2.5273006031056866e-05,1.1733051906048786e-05,1.1733051906048786e-05,6,6,1,0
124,6,0.0005157407140359282,0.0015127878868952394,0.000997047172859311,0.000997047172859311,6,6,1,0
126,1,0.0002782440569717437,3.65961532224901e-05,-0.00024164791102521122,-0.00024164791102521122,1,1,1,1
132,6,0.0013174130581319332,0.0009261885425075889,-0.00039122451562434435,-0.00039122451562434435,6,2,0,1
134,1,0.0009221967775374651,0.0007601965917274356,-0.0001620001858100295,-0.0001620001858100295,1,1,1,1
137,1,5.364243861549767e-06,2.4670632683410076e-06,-2.897180593208759e-06,-2.897180593208759e-06,1,1,1,0
138,2,0.0004992541507817805,0.0003446441260166466,-0.00015461002476513386,-0.00015461002476513386,2,2,0,1
140,1,0.025443576276302338,0.011094987392425537,-0.0143485888838768,-0.0143485888838768,0,0,1,1
