dataset_index,label,clean_target_prob,triggered_target_prob,trigger_delta,score,clean_pred,triggered_pred,ground_truth_poison,predicted_poison
1,9,0.5663393139839172,0.43872711062431335,-0.12761220335960388,-0.12761220335960388,9,9,1,1
3,4,3.974935225414811e-06,4.672060640587006e-06,6.971254151721951e-07,6.971254151721951e-07,4,4,1,0
4,1,2.0770285118487664e-05,1.7117456081905402e-05,-3.6528290365822613e-06,-3.6528290365822613e-06,1,1,1,0
5,1,0.004105341620743275,0.001480192062444985,-0.0026251496747136116,-0.0026251496747136116,1,1,1,0
6,2,0.0001236233947565779,0.00011464656563475728,-8.976829121820629e-06,-8.976829121820629e-06,2,2,1,0
18,2,0.0005910054314881563,0.0013068270636722445,0.0007158216321840882,0.0007158216321840882,2,2,1,0
19,6,0.014415415935218334,0.007832464762032032,-0.006582951173186302,-0.006582951173186302,2,2,1,0
23,6,2.4002820282476023e-05,9.690584556665272e-05,7.29030289221555e-05,7.29030289221555e-05,6,6,1,0
28,4,2.6534366952546407e-06,1.033033413477824e-06,-1.6204032817768166e-06,-1.6204032817768166e-06,4,4,1,0
31,9,0.6990618705749512,0.34150904417037964,-0.35755282640457153,-0.35755282640457153,9,9,1,1
32,1,0.004973763134330511,0.006193716544657946,0.0012199534103274345,0.0012199534103274345,1,1,1,0
33,3,7.198678213171661e-05,8.913894271245226e-05,1.7152160580735654e-05,1.7152160580735654e-05,3,3,1,0
34,4,3.0392686767299892e-06,2.2574804461328313e-06,-7.81788230597158e-07,-7.81788230597158e-07,4,4,1,0
35,0,0.0005082240677438676,0.00015093042748048902,-0.0003572936402633786,-0.0003572936402633786,7,7,1,0
37,7,2.9839080184501654e-07,4.2040221615025075e-07,1.220114143052342e-07,1.220114143052342e-07,7,7,1,0
44,1,0.0016900293994694948,0.001818617805838585,0.00012858840636909008,0.00012858840636909008,1,1,1,0
45,1,0.0008699654717929661,0.0007634186767973006,-0.00010654679499566555,-0.00010654679499566555,1,1,1,0
49,0,0.00015675231406930834,9.758302621776238e-05,-5.916928785154596e-05,-5.916928785154596e-05,0,0,0,0
50,9,0.3161250054836273,0.2475282847881317,-0.0685967206954956,-0.0685967206954956,9,0,1,1
53,9,0.014719516038894653,0.0021182801574468613,-0.012601235881447792,-0.012601235881447792,1,1,1,0
54,2,4.1245184547733516e-06,4.8392757889814675e-06,7.147573342081159e-07,7.147573342081159e-07,2,2,1,0
55,2,4.3767289753304794e-05,7.405774522339925e-05,3.0290455470094457e-05,3.0290455470094457e-05,2,2,1,0
57,2,9.377845708513632e-05,4.233940853737295e-05,-5.143904854776338e-05,-5.143904854776338e-05,2,2,1,0
58,4,2.088512019327027e-06,2.62032540376822e-06,5.318133844411932e-07,5.318133844411932e-07,2,4,1,0
61,1,4.8199632146861404e-05,3.503478365018964e-05,-1.3164848496671766e-05,-1.3164848496671766e-05,1,1,1,0
64,1,0.006937699392437935,0.0035424628295004368,-0.003395236562937498,-0.003395236562937498,1,1,1,0
72,6,0.06301218271255493,0.08311378210783005,0.020101599395275116,0.020101599395275116,6,1,1,0
75,1,0.01262961607426405,0.00684874365106225,-0.005780872423201799,-0.005780872423201799,1,1,1,0
77,0,0.002131130313500762,0.0013048930559307337,-0.0008262372575700283,-0.0008262372575700283,0,0,1,0
88,9,0.11855518072843552,0.04307730495929718,-0.07547787576913834,-0.07547787576913834,1,1,1,1
89,4,1.8144191926694475e-05,5.523654181160964e-06,-1.2620537745533511e-05,-1.2620537745533511e-05,2,2,1,0
96,1,0.0038749740924686193,0.0016685695154592395,-0.0022064046934247017,-0.0022064046934247017,8,8,1,0
99,1,0.00188594707287848,0.0013311990769580007,-0.0005547479959204793,-0.0005547479959204793,1,1,1,0
100,8,8.424195402767509e-05,9.69004540820606e-05,1.2658500054385513e-05,1.2658500054385513e-05,8,8,1,0
101,3,1.5660894860047847e-05,3.013963214471005e-05,1.4478737284662202e-05,1.4478737284662202e-05,3,2,1,0
102,9,0.16961166262626648,0.07411652058362961,-0.09549514204263687,-0.09549514204263687,1,1,1,1
103,6,0.06700447201728821,0.06080685555934906,-0.006197616457939148,-0.006197616457939148,8,5,1,0
105,1,9.490072443441022e-06,1.1469365745142568e-05,1.9792933017015457e-06,1.9792933017015457e-06,1,1,1,0
109,9,0.5376304388046265,0.2970461845397949,-0.24058425426483154,-0.24058425426483154,9,1,1,1
110,9,0.016354871913790703,0.003048212267458439,-0.013306659646332264,-0.013306659646332264,1,1,1,0
111,8,0.0001797261502360925,0.00019947723194491118,1.9751081708818674e-05,1.9751081708818674e-05,8,8,1,0
112,1,0.001340853632427752,0.0009658588096499443,-0.0003749948227778077,-0.0003749948227778077,1,1,1,0
113,7,0.001905706594698131,0.0007446851814165711,-0.00116102141328156,-0.00116102141328156,2,7,1,0
116,0,0.00015947628708090633,6.470413063652813e-05,-9.47721564443782e-05,-9.47721564443782e-05,8,8,1,0
117,6,5.326365226210328e-06,1.1989756785624195e-05,6.663391559413867e-06,6.663391559413867e-06,6,6,1,0
124,6,0.0003431373625062406,0.0012834396911785007,0.00094030232867226,0.00094030232867226,6,6,1,0
126,1,0.0006217495538294315,0.00012913522368762642,-0.0004926143446937203,-0.0004926143446937203,1,1,1,0
132,6,0.0010374431731179357,0.0010615133214741945,2.407014835625887e-05,2.407014835625887e-05,6,2,1,0
134,1,0.0013026772066950798,0.0013149090809747577,1.2231874279677868e-05,1.2231874279677868e-05,1,1,1,0
137,1,2.5644814741099253e-05,1.2607038115675095e-05,-1.3037776625424158e-05,-1.3037776625424158e-05,1,1,1,0
138,2,0.0005522095016203821,0.00046716074575670063,-8.504875586368144e-05,-8.504875586368144e-05,2,2,1,0
140,1,0.04070616140961647,0.01379166916012764,-0.02691449224948883,-0.02691449224948883,0,0,1,0
142,3,0.006756542716175318,0.004755452740937471,-0.0020010899752378464,-0.0020010899752378464,2,2,1,0
145,4,0.000719582661986351,0.00040597518091090024,-0.0003136074810754508,-0.0003136074810754508,4,4,1,0
146,9,0.04500328376889229,0.050737328827381134,0.005734045058488846,0.005734045058488846,4,6,1,0
147,9,0.005973458290100098,0.005975816864520311,2.3585744202136993e-06,2.3585744202136993e-06,0,0,1,0
153,4,3.7060087834106525e-06,2.366778971918393e-06,-1.3392298114922596e-06,-1.3392298114922596e-06,4,4,1,0
154,6,0.0011035269126296043,0.0006669797003269196,-0.0004365472123026848,-0.0004365472123026848,4,4,1,0
158,4,6.685314133392239e-07,2.641639298417431e-07,-4.0436748349748086e-07,-4.0436748349748086e-07,4,4,0,0
160,1,0.0002410185115877539,0.0006856938125565648,0.0004446753009688109,0.0004446753009688109,1,1,1,0
162,4,0.004016165621578693,0.004012720193713903,-3.4454278647899628e-06,-3.4454278647899628e-06,7,7,1,0
163,7,1.149501372310624e-06,1.7037895077010035e-06,5.542881353903795e-07,5.542881353903795e-07,7,7,1,0
165,0,0.00032482220558449626,0.00012343362323008478,-0.00020138858235441148,-0.00020138858235441148,0,0,1,0
166,9,0.06205981969833374,0.02157728746533394,-0.0404825322329998,-0.0404825322329998,1,1,1,0
168,1,0.018428528681397438,0.01413248386234045,-0.004296044819056988,-0.004296044819056988,1,1,1,0
176,1,0.00030763092217966914,0.0005396163323894143,0.00023198541020974517,0.00023198541020974517,1,1,1,0
184,1,0.0019253338687121868,0.0010872220154851675,-0.0008381118532270193,-0.0008381118532270193,1,1,1,0
186,9,0.11722219735383987,0.06965998560190201,-0.047562211751937866,-0.047562211751937866,1,1,1,0
188,9,0.9632571935653687,0.9308813810348511,-0.03237581253051758,-0.03237581253051758,9,9,1,0
191,7,0.0005393223837018013,0.00023926848371047527,-0.00030005391454324126,-0.00030005391454324126,5,7,1,0
199,0,9.444211173104122e-05,9.651660366216674e-05,2.0744919311255217e-06,2.0744919311255217e-06,0,0,1,0
201,1,0.00016202984261326492,0.00010480021592229605,-5.722962669096887e-05,-5.722962669096887e-05,1,1,1,0
209,6,6.798114100092789e-06,2.8248687158338726e-05,2.1450572603498586e-05,2.1450572603498586e-05,6,6,1,0
210,6,4.766023266711272e-05,9.72388734226115e-05,4.957864075549878e-05,4.957864075549878e-05,6,6,1,0
213,0,3.607459075283259e-05,1.958409120561555e-05,-1.649049954721704e-05,-1.649049954721704e-05,0,0,1,0
219,9,0.9164756536483765,0.8068282008171082,-0.10964745283126831,-0.10964745283126831,9,9,1,1
220,0,0.00015429079940076917,0.00012193990551168099,-3.2350893889088184e-05,-3.2350893889088184e-05,0,0,1,0
222,8,4.33579270975315e-06,3.7962809074088e-06,-5.395118023443501e-07,-5.395118023443501e-07,8,8,1,0
223,0,0.0004925543908029795,9.098835289478302e-05,-0.00040156603790819645,-0.00040156603790819645,4,4,1,0
225,9,0.21446260809898376,0.024950241670012474,-0.18951237201690674,-0.18951237201690674,1,1,1,1
226,1,1.6809215139801381e-06,1.0297600283593056e-06,-6.511614856208325e-07,-6.511614856208325e-07,1,1,1,0
227,1,0.002799668814986944,0.0019803496543318033,-0.0008193191606551409,-0.0008193191606551409,1,1,1,0
228,6,5.168014104128815e-05,0.0002325692039448768,0.00018088906654156744,0.00018088906654156744,6,6,1,0
230,7,0.06306417286396027,0.034100163727998734,-0.028964009135961533,-0.028964009135961533,7,7,1,0
232,6,0.0006107616354711354,0.0009410323109477758,0.00033027067547664046,0.00033027067547664046,6,6,1,0
238,1,0.0002055977820418775,5.799540667794645e-05,-0.00014760237536393106,-0.00014760237536393106,1,1,1,0
247,4,1.7499409295851365e-05,1.7367136024404317e-05,-1.322732714470476e-07,-1.322732714470476e-07,4,4,1,0
248,6,0.0008338020998053253,0.00041220345883630216,-0.0004215986409690231,-0.0004215986409690231,2,2,1,0
249,6,0.0010190901812165976,0.0017448629951104522,0.0007257728138938546,0.0007257728138938546,8,8,1,0
250,1,0.0007070483407005668,0.0005270666442811489,-0.00017998169641941786,-0.00017998169641941786,1,1,1,0
