dataset_index,label,clean_target_prob,triggered_target_prob,trigger_delta,clean_pred,triggered_pred,ground_truth_poison,predicted_poison
1,9,0.529280424118042,0.41004592180252075,-0.11923450231552124,9,1,1,0
3,4,2.893490545829991e-06,4.4667572183243465e-06,1.5732666724943556e-06,4,4,1,0
4,1,1.7899428712553345e-05,1.5741647075628862e-05,-2.157781636924483e-06,1,1,1,0
5,1,0.004004552494734526,0.0017025928245857358,-0.0023019597865641117,1,1,1,0
6,2,0.00015788037853781134,0.0001532835012767464,-4.596877261064947e-06,2,2,1,0
18,2,0.0004984999541193247,0.0011834822362288833,0.0006849822821095586,2,2,1,0
19,6,0.016360994428396225,0.009476041421294212,-0.006884953007102013,3,7,1,0
23,6,1.4723541426064912e-05,7.044131780276075e-05,5.571777728619054e-05,6,6,1,0
28,4,3.526498858263949e-06,1.5236737453960814e-06,-2.0028251128678676e-06,4,4,1,0
31,9,0.7133034467697144,0.3500555455684662,-0.36324790120124817,9,9,1,0
32,1,0.005593885667622089,0.007457067724317312,0.0018631820566952229,1,1,1,1
33,3,7.776395068503916e-05,0.00010913755249930546,3.1373601814266294e-05,3,3,1,0
34,4,1.9674127997859614e-06,1.8307974869458121e-06,-1.3661531284014927e-07,4,4,1,0
35,0,0.0005738282343372703,0.0001596890651853755,-0.00041413918370381,7,7,1,0
37,7,1.7639007410252816e-07,2.0228750940987084e-07,2.5897435307342676e-08,7,7,1,0
44,1,0.0013262691209092736,0.0017511231126263738,0.00042485399171710014,1,1,1,0
45,1,0.0010796590941026807,0.0010278763948008418,-5.1782699301838875e-05,1,1,1,0
49,0,0.00013180566020309925,7.720862777205184e-05,-5.459703243104741e-05,0,0,0,0
50,9,0.3540025055408478,0.29332301020622253,-0.060679495334625244,9,0,1,0
53,9,0.017726806923747063,0.0028162284288555384,-0.014910578727722168,1,1,1,0
54,2,1.6027440778998425e-06,2.010075832004077e-06,4.073317541042343e-07,2,2,1,0
55,2,4.236696258885786e-05,6.149822729639709e-05,1.913126470753923e-05,2,2,1,0
57,2,8.365243411390111e-05,3.1445604690816253e-05,-5.2206829423084855e-05,2,2,1,0
58,4,1.5076011550263502e-06,2.3864754439273383e-06,8.788742889009882e-07,2,4,1,0
61,1,2.053542084468063e-05,1.9075145246461034e-05,-1.4602755982195958e-06,1,1,1,0
64,1,0.0062457118183374405,0.0036337878555059433,-0.002611923962831497,1,1,1,0
72,6,0.07234681397676468,0.11226292699575424,0.03991611301898956,6,6,1,1
75,1,0.01363445445895195,0.008230634965002537,-0.005403819493949413,1,1,1,0
77,0,0.0018725901609286666,0.0011069938773289323,-0.0007655962835997343,0,0,1,0
88,9,0.1428338885307312,0.05884981527924538,-0.08398407697677612,1,1,1,0
89,4,3.7165184039622545e-05,8.783454177319072e-06,-2.8381729862303473e-05,2,4,1,0
96,1,0.004359471146017313,0.0020914373453706503,-0.0022680338006466627,8,8,1,0
99,1,0.002808564342558384,0.002375104231759906,-0.0004334601107984781,1,1,1,0
100,8,8.493297355016693e-05,0.0001477964542573318,6.286348070716485e-05,8,8,1,0
101,3,6.754949026799295e-06,1.7940492398338392e-05,1.1185543371539097e-05,3,3,1,0
102,9,0.16916081309318542,0.07320018112659454,-0.09596063196659088,1,1,1,0
103,6,0.08746706694364548,0.07871976494789124,-0.008747301995754242,5,5,1,0
105,1,6.734700036759023e-06,8.158935088431463e-06,1.42423505167244e-06,1,1,1,0
109,9,0.5278858542442322,0.3294046223163605,-0.1984812319278717,9,1,1,0
110,9,0.022331006824970245,0.004378758370876312,-0.017952248454093933,1,1,1,0
111,8,0.00020594571833498776,0.00026345354854129255,5.750783020630479e-05,8,8,1,0
112,1,0.0006860037101432681,0.0006426020408980548,-4.340166924521327e-05,1,1,1,0
113,7,0.00246750982478261,0.0009516371646896005,-0.0015158726600930095,2,7,1,0
116,0,0.0001919934875331819,8.53090823511593e-05,-0.0001066844051820226,8,8,1,0
117,6,5.922670879954239e-06,1.3175744243199006e-05,7.253073363244766e-06,6,6,1,0
124,6,0.00014435951015911996,0.0005989624187350273,0.00045460290857590735,6,6,1,0
126,1,0.0005354664172045887,0.00013225027942098677,-0.0004032161377836019,1,1,1,0
132,6,0.0005611703963950276,0.0006361744599416852,7.500406354665756e-05,6,2,1,0
134,1,0.0020827341359108686,0.0022696724627166986,0.00018693832680583,1,1,1,0
137,1,1.9791234080912545e-05,1.2286838682484813e-05,-7.504395398427732e-06,1,1,1,0
