epoch,aggregate,mode,active_mode,params_per_client,bytes_per_client,mb_per_client,uploaded_clients,uploaded_bytes_round,uploaded_mb_round,aggregated_clients,aggregated_bytes_round,aggregated_mb_round
1,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
1,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
1,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
2,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,20,1602326400,1528.0975341796875
2,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,20,1602284800,1528.057861328125
2,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,20,12800,0.01220703125
3,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
3,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
3,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
4,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
4,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
4,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
5,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
5,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
5,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
6,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
6,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
6,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
7,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
7,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
7,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
8,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
8,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
8,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
9,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
9,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
9,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
10,clustering,full_model,0,20029080,80116320,76.40487670898438,20,1602326400,1528.0975341796875,14,1121628480,1069.6682739257812
10,clustering,feature,0,20028560,80114240,76.40289306640625,20,1602284800,1528.057861328125,14,1121599360,1069.6405029296875
10,clustering,prototype,1,160,640,0.0006103515625,20,12800,0.01220703125,14,8960,0.008544921875
